Business,Category,Lifeline,Latitude,Longitude,Zipcode
Arlington Cab Company,taxis,6,42.4204254150391,-71.1566619873047,02474
Aaa Peravia Transportation,taxis,6,42.31978,-71.0986,02119
Minivan Taxi Logan Airport,airport_shuttles,6,42.393056,-71.139985,02140
McGrath's Taxi Serv,taxis,6,42.2519014,-70.9970338,02169
City Taxi,taxis,6,42.4117755889893,-71.0187819600105,02151
Melrose Taxi,taxis,6,42.4565062,-71.0586461,02176
Winchester Center,publictransport,6,42.4512295,-71.1376202,01890
Leg Car Services,taxis,6,42.42907,-71.062871,02148
Junior's Taxi,taxis,6,42.04934,-70.1887,02657
Pride Taxi Service Inc,taxis,6,42.0569877624512,-70.1855316162109,02657
MBTA Bus Rte 136,publictransport,6,42.45309,-71.06647,02176
Family Taxi Service,taxis,6,42.19211,-71.20148,02062
Vocell Bus Company,publictransport,6,42.4135780334473,-71.0746841430664,02148
Arlington Cabs,taxis,6,42.3991718,-71.1240559,02144
Newton Taxi,taxis,6,42.3144989013672,-71.1922302246094,02459
Quincy Taxi,taxis,6,42.2423897,-70.9808733,02169
Boston Airport Taxi Cab Service,limos,6,42.4101915,-71.0910015,02155
Stoneham Taxi,taxis,6,42.44318,-71.03455,02148
Cambridge Taxi,taxis,6,42.3966312,-71.1298383,02140
Garcia's Taxi,taxis,6,42.456776,-70.956343,01905
Parkway Taxi,taxis,6,42.2873358428478,-71.1270848661661,02131
Gold Chip Taxi,taxis,6,42.4115982,-71.011673,02151
West Medford Cab Cellular,taxis,6,42.422339,-71.0905856,02155
Airport Taxi-Arlington,taxis,6,42.4244915,-71.1833301,02474
Morse Taxi,taxis,6,42.395896,-71.17619,02478
Milton White Cab,taxis,6,42.2390670776367,-71.0840606689453,02186
Everett Taxi,taxis,6,42.4305229187012,-71.0575561523438,02148
Red Cab - Worcester,taxis,6,42.282092,-71.799726,01605
Revere Airport  Taxi & Transportation,taxis,6,42.40474,-70.99439,02151
Bill's Transportation Services,taxis,6,41.8532791137695,-71.4753799438477,02911
Black & White Taxi,airport_shuttles,6,42.05024,-70.18985,02657
AFS Airport Taxi,taxis,6,42.4698219299316,-70.9633026123047,01905
Belmont Cab Service,taxis,6,42.4204254150391,-71.1566619873047,02474
Wellesley Taxi and Limo,limos,6,42.3014336,-71.2871704,02482
Liberty Cab Company,taxis,6,42.2022338,-71.0023521,02184
Natick Airport Taxi and Car Services,taxis,6,42.284,-71.34617,01760
Taxi Time,taxis,6,42.45717,-71.06405,02176
Lexington Airport Taxi Cab,taxis,6,42.4352793,-71.2347513,02421
Vsp Transportation,publictransport,6,42.4623832702637,-71.0097579956055,01906
Toms Taxi,taxis,6,42.456776,-70.956345,01901
Portsmouth Taxi,taxis,6,43.0399354,-70.7765737,03801
C J Livery,limos,6,42.399052,-71.591305,01749
UMIB Limousine,airport_shuttles,6,42.5050354003906,-71.070671081543,01880
Burlington Airport Taxi Cab,airport_shuttles,6,42.4857978820801,-71.2197952270508,01803
Airport Express Direct,airport_shuttles,6,41.732578,-70.956139,02745
Latinos Transportation,taxis,6,42.98607,-71.44613,03103
Barnstable Taxi and Livery,taxis,6,41.66953,-70.18828,02664
